id,Brand,Model,Price,Weight,Stiffness,Balance_Point,Image,Description
1,Yonex,Arcsaber 11 Pro 3U,2749000,87,Stiff,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-p.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 11 Pro dirancang untuk pemain yang mengutamakan kontrol dan presisi tinggi dalam permainan cepat. Teknologi Neo CS Carbon Nanotube meningkatkan fleksibilitas rangka, menahan shuttlecock lebih lama di senar untuk akurasi serangan balik. Desain ISOMETRIC memperbesar sweet spot hingga 7% untuk kontrol lebih baik tanpa mengorbankan tenaga, sementara Solid Feel Core mengurangi getaran yang tidak diinginkan saat benturan. Serat Ultra PE pada shaft menyerap kejutan dengan optimal, dan Super Slim Shaft meminimalkan hambatan udara untuk ayunan yang lebih cepat. Energy Boost CAP memaksimalkan kelenturan shaft dan menstabilkan kepala raket, sementara material T-ANCHOR di T-joint mengurangi torsi saat pukulan tidak tepat. Didukung Super HMG untuk kekakuan ekstra, Pocketing Booster untuk elastisitas, dan Control-Assist Bumper untuk mengunci senar vertikal, Arcsaber 11 Pro memastikan stabilitas, kecepatan, dan kontrol optimal bagi pemain kompetitif."
2,Yonex,Arcsaber 11 Pro 4U,2749000,82,Stiff,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-p.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 11 Pro dirancang untuk pemain yang mengutamakan kontrol dan presisi tinggi dalam permainan cepat. Teknologi Neo CS Carbon Nanotube meningkatkan fleksibilitas rangka, menahan shuttlecock lebih lama di senar untuk akurasi serangan balik. Desain ISOMETRIC memperbesar sweet spot hingga 7% untuk kontrol lebih baik tanpa mengorbankan tenaga, sementara Solid Feel Core mengurangi getaran yang tidak diinginkan saat benturan. Serat Ultra PE pada shaft menyerap kejutan dengan optimal, dan Super Slim Shaft meminimalkan hambatan udara untuk ayunan yang lebih cepat. Energy Boost CAP memaksimalkan kelenturan shaft dan menstabilkan kepala raket, sementara material T-ANCHOR di T-joint mengurangi torsi saat pukulan tidak tepat. Didukung Super HMG untuk kekakuan ekstra, Pocketing Booster untuk elastisitas, dan Control-Assist Bumper untuk mengunci senar vertikal, Arcsaber 11 Pro memastikan stabilitas, kecepatan, dan kontrol optimal bagi pemain kompetitif."
3,Yonex,Arcsaber 7 Pro 3U,2439000,87,Medium,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc7-p.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex ArcSaber 7 Pro adalah pilihan sempurna bagi pemain yang menginginkan kombinasi kekuatan dan presisi untuk meningkatkan permainan mereka. Dilengkapi dengan teknologi Nanometric dari Yonex, raket ini memperkuat ikatan serat karbon sehingga menghasilkan rangka yang lebih kaku dan kuat, memberikan kekuatan luar biasa pada setiap pukulan, ideal untuk permainan agresif. Bentuk kepala ISOMETRIC memperluas sweet spot, memastikan pukulan yang tepat dan akurat, baik untuk drop shot maupun smash. Pola grommet yang diperbarui memberikan kontrol yang lebih baik atas penempatan shuttlecock, sementara teknologi T-Anchor yang terintegrasi meningkatkan stabilitas dengan meminimalkan puntiran selama pukulan keras. Dengan bobot yang ringan dan daya tahan tinggi, ArcSaber 7 Pro menawarkan manuver yang mudah dan performa tahan lama, menjadikannya partner andal di lapangan."
4,Yonex,Arcsaber 7 Pro 4U,2439000,82,Medium,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc7-p.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex ArcSaber 7 Pro adalah pilihan sempurna bagi pemain yang menginginkan kombinasi kekuatan dan presisi untuk meningkatkan permainan mereka. Dilengkapi dengan teknologi Nanometric dari Yonex, raket ini memperkuat ikatan serat karbon sehingga menghasilkan rangka yang lebih kaku dan kuat, memberikan kekuatan luar biasa pada setiap pukulan, ideal untuk permainan agresif. Bentuk kepala ISOMETRIC memperluas sweet spot, memastikan pukulan yang tepat dan akurat, baik untuk drop shot maupun smash. Pola grommet yang diperbarui memberikan kontrol yang lebih baik atas penempatan shuttlecock, sementara teknologi T-Anchor yang terintegrasi meningkatkan stabilitas dengan meminimalkan puntiran selama pukulan keras. Dengan bobot yang ringan dan daya tahan tinggi, ArcSaber 7 Pro menawarkan manuver yang mudah dan performa tahan lama, menjadikannya partner andal di lapangan."
5,Yonex,Arcsaber 11 Tour 3U,2159000,87,Stiff,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-t.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 11 Tour menghadirkan era baru dalam bulutangkis dengan desain flex kaku dan bahan canggih seperti HM Graphite dan POCKETING BOOSTER, menawarkan kombinasi kontrol dan kekuatan yang luar biasa. Dengan panjang tambahan 10mm dan berat 4U, raket ini ideal bagi pemain yang ingin mendominasi di lapangan. Teknologi ISOMETRIC memperbesar sweet spot untuk meningkatkan kontrol dan kekuatan, sementara Super Slim Shaft mengurangi hambatan udara untuk respons yang lebih baik. Energy Boost CAP PLUS meningkatkan performa shaft dengan desain tutup yang unik, dan T-ANCHOR mengurangi puntiran untuk akurasi pukulan. Dilengkapi dengan Super HMG untuk performa superior, REXIS Shaft hasil cetakan khas Yonex, serta Box Frame ekstra kaku untuk stabilitas yang solid. POCKETING BOOSTER dan CONTROL-ASSIST BUMPER dengan T-ANCHOR menambah fleksibilitas dan akurasi, menjadikan Yonex Arcsaber 11 Tour pilihan tepat untuk meningkatkan permainan Anda dengan presisi dan kekuatan."
6,Yonex,Arcsaber 11 Tour 4U,2159000,82,Stiff,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-t.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 11 Tour menghadirkan era baru dalam bulutangkis dengan desain flex kaku dan bahan canggih seperti HM Graphite dan POCKETING BOOSTER, menawarkan kombinasi kontrol dan kekuatan yang luar biasa. Dengan panjang tambahan 10mm dan berat 4U, raket ini ideal bagi pemain yang ingin mendominasi di lapangan. Teknologi ISOMETRIC memperbesar sweet spot untuk meningkatkan kontrol dan kekuatan, sementara Super Slim Shaft mengurangi hambatan udara untuk respons yang lebih baik. Energy Boost CAP PLUS meningkatkan performa shaft dengan desain tutup yang unik, dan T-ANCHOR mengurangi puntiran untuk akurasi pukulan. Dilengkapi dengan Super HMG untuk performa superior, REXIS Shaft hasil cetakan khas Yonex, serta Box Frame ekstra kaku untuk stabilitas yang solid. POCKETING BOOSTER dan CONTROL-ASSIST BUMPER dengan T-ANCHOR menambah fleksibilitas dan akurasi, menjadikan Yonex Arcsaber 11 Tour pilihan tepat untuk meningkatkan permainan Anda dengan presisi dan kekuatan."
7,Yonex,Arcsaber 7 Tour  ,1710000,82,Medium,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc7-t_grayyellow.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 7 menawarkan keseimbangan sempurna antara kontrol dan kekuatan, dirancang dengan flex sedang, konstruksi HM Graphite, dan teknologi inovatif. Raket ini memiliki panjang tambahan 10mm dan berat 4U, memberikan pengalaman bermain yang dinamis. Teknologi ISOMETRIC memperbesar sweet spot untuk kontrol dan kekuatan yang lebih baik, sementara Super Slim Shaft mengurangi hambatan udara untuk meningkatkan rasa dan respons. Energy Boost CAP PLUS meningkatkan performa shaft dengan desain tutup unik, dan T-ANCHOR mengurangi puntiran untuk akurasi pukulan yang lebih baik. REXIS Shaft, yang dibuat dengan teknik cetakan khas Yonex, serta Built-in T-Joint, meningkatkan kekuatan antara frame dan shaft, mengurangi puntiran kepala raket untuk kontrol lebih baik. Dengan Box Frame yang ekstra kaku untuk stabilitas pada benturan, POCKETING BOOSTER untuk fleksibilitas lebih tinggi, dan Enhanced Arcsaber Frame yang menambah waktu pegang shuttle, raket ini mengurangi ketidakstabilan dan puntiran saat pukulan."
8,Yonex,Arcsaber 11 Play ,740000,82,Flex,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-pl.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex ArcSaber 11 Play dirancang untuk memberikan akurasi tinggi dalam pertandingan cepat, dengan fleksibilitas rangka yang ditingkatkan sehingga shuttlecock dapat bertahan lebih lama di senar untuk kontrol yang lebih baik. Rangka ARCSABER melentur saat benturan, menyimpan dan melepaskan energi untuk memberikan pukulan yang presisi, ideal bagi pemain yang mencari kontrol maksimal. Desain ISOMETRIC, yang dikembangkan lebih dari 30 tahun lalu, memperbesar sweet spot hingga 7%, meningkatkan akurasi pukulan tanpa mengorbankan tenaga. Solid Feel Core mengurangi getaran yang tidak diinginkan, sementara shaft yang terbuat dari Ultra PE Fiber memberikan penyerapan guncangan yang optimal. Selain itu, teknologi T-ANCHOR di T-joint mengurangi puntiran saat pukulan tidak tepat, dan Box Frame yang ekstra kaku memberikan stabilitas saat benturan. Raket ini juga dilengkapi dengan CONTROL-ASSIST BUMPER yang meningkatkan akurasi dengan mengunci senar vertikal menggunakan mikro-tetrapoda T-ANCHOR."
9,Yonex,Arcsaber 7 Play ,640000,82,Flex,Even Balance,https://www.yonex.com/media/catalog/product/a/r/arc11-pl.png?quality=80&fit=bounds&height=819&width=600&canvas=600:819,"Yonex Arcsaber 7 Play menawarkan keseimbangan sempurna antara kontrol dan kekuatan. Dirancang dengan flex fleksibel, konstruksi grafit, dan teknologi inovatif, raket ini memiliki panjang tambahan 10mm dan berat 4U untuk pengalaman bermain yang dinamis. Teknologi ISOMETRIC memperbesar sweet spot untuk kontrol dan kekuatan yang lebih baik, sementara Slim Shaft dirancang untuk memotong udara dan menghasilkan pukulan yang cepat. Box Frame memberikan profil yang ekstra kaku untuk rasa yang solid dan stabil saat shuttlecock terkena benturan."
10,Yonex,Arcsaber 3 ,2200000,82,Flex,Even Balance,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/93/MTA-140193812/yonex_raket_badminton_made_in_japan_jepang_yonex_arcsaber_3_blue_original_full04_emfftsf.jpg,"Yonex Arcsaber 3 menawarkan keseimbangan antara kontrol dan kekuatan dengan beberapa teknologi canggih. Teknologi ISOMETRIC memperluas sweet spot dengan mendekatkan panjang senar vertikal dan horizontal, memberikan area pukulan yang lebih luas dibandingkan dengan frame bulat konvensional. Box Frame menciptakan sensasi pukulan yang mantap dan menyimpan tenaga untuk menghasilkan pukulan kuat. T-Joint yang terintegrasi meningkatkan stabilitas dan ketahanan terhadap puntiran. Slim Shaft yang lebih ramping mengurangi hambatan udara, meningkatkan manuver dan kontrol. Energy Boost Cap Plus membantu menyalurkan tenaga secara lebih efektif dan meningkatkan fleksibilitas shaft. T-Anchor mempercepat pemulihan frame setelah lenturan, sementara Ultra PE Fiber menyerap getaran secara optimal, memberikan respons yang sesuai dengan kebutuhan pemain tingkat lanjut."
